Tipo,Dia,Comida,Plato_Adultos,Adaptacion_Caleb_Bebe
Menu,Dia 1 (Lun),Desayuno,Arepa de maíz precocida con Perico Criollo + Queso blanco paisa + Café,Perico suave sin sal ni cebolla fuerte + Trozo de arepa suave
Menu,Dia 1 (Lun),Almuerzo,Pabellón Criollo Fit: Carne mechada magra + Caraotas negras + Arroz integral + Tajadas al horno,Bastones de auyama al vapor + Pollo desmenuzado suave + Aguacate
Menu,Dia 1 (Lun),Cena,Arepa de auyama con queso fresco + Aguacate + Pollo desmenuzado,Puré de auyama con pollo suave machacado
Menu,Dia 2 (Mar),Desayuno,Pisca Andina ligera con huevo pochado + Papa + Cilantro + Arepa,Papa cocida en bastón + Yema de huevo pochado
Menu,Dia 2 (Mar),Almuerzo,Asado Negro Magro + Yuca al vapor + Ensalada verde,Puré rústico de yuca + Batido de yema de huevo cocida + Aguacate
Menu,Dia 2 (Mar),Cena,Omelette de claras con pimentón + Tomate + Queso telita,Clara de huevo bien cocida en tiritas + Tomate sin piel ni semillas
Menu,Dia 3 (Mie),Desayuno,Arepa Reina Pepiada Fit (Pollo + Aguacate + Yogur griego + Cilantro),Aguacate en rebanada ancha + Pollo desmenuzado en hebras
Menu,Dia 3 (Mie),Almuerzo,Pollo Guisado Criollo + Papas + Zanahorias + Arroz blanco + Plátano horneado,Bastones de zanahoria y papa al vapor + Pollo muy tierno
Menu,Dia 3 (Mie),Cena,Empanadas horneadas de cazón o pollo + Ensalada de tomate y pepino,Tiritas de pechuga de pollo al vapor
Menu,Dia 4 (Jue),Desayuno,Arepitas de plátano verde/maduro al budare + Queso bajo en sal + Aguacate,Bastón de plátano maduro al budare + Tiras de aguacate
Menu,Dia 4 (Jue),Almuerzo,Pescado a la Margariteña + Tostones horneados + Ensalada rallada,Puré de auyama y calabacín + Pescado blanco desmenuzado sin espinas
Menu,Dia 4 (Jue),Cena,Crema casera de auyama y calabacín + Queso paisa en cubos,Crema de auyama espesa sin sal añadida
Menu,Dia 5 (Vie),Desayuno,Empanadas horneadas de carne mechada o queso + Jugo natural,Carne mechada muy suave y picada
Menu,Dia 5 (Vie),Almuerzo,Fajitas Criollas + Caraotas blancas + Arroz,Bastones de plátano maduro + Caraotas blancas machacadas sin sal
Menu,Dia 5 (Vie),Cena,Cachapas de maíz tierno al budare con queso de mano bajo en sal,Cachapita suave de maíz sin sal añadida
Menu,Dia 6 (Sab),Desayuno,Mandocas horneadas de plátano y queso con anís + Huevos revueltos,Huevos revueltos bien cocidos sin sal
Menu,Dia 6 (Sab),Almuerzo,Parrilla Criolla de Pollo + Yuca sancochada + Guasacaca de aguacate,Yuca suave al vapor + Tiras de pechuga de pollo + Aguacate
Menu,Dia 6 (Sab),Cena,Arepa Domino Fit (caraotas negras + queso bajo en sal),Caraotas negras coladas y machacadas
Menu,Dia 7 (Dom),Desayuno,Desayuno Dominical: Arepas surtidas con jamón de pavo + Queso + Perico + Aguacate,Aguacate + Arepita de maíz al budare
Menu,Dia 7 (Dom),Almuerzo,Sancocho Criollo de Res/Gallina (Mazorca + Yuca + Auyama + Ocumo + Carne),Mazorca en trozo grande para roer + Auyama y ocumo sancochado
Menu,Dia 7 (Dom),Cena,Consomé de pollo con vegetales suaves + Arepita a la plancha,Trozos suaves de auyama y pollo del consomé
Menu,Dia 8 (Lun),Desayuno,Arepas de batata con huevos revueltos y queso carora,Bastones de batata al vapor + Huevos revueltos
Menu,Dia 8 (Lun),Almuerzo,Carne Picada Guisada con Papas & Zanahoria + Arroz + Ensalada remolacha,Bastones de batata + Tiritas de carne suave
Menu,Dia 8 (Lun),Cena,Arepitas de avena y chía + Queso telita + Tomate,Arepita de avena al budare
Menu,Dia 9 (Mar),Desayuno,Panquecas de avena + Plátano + Huevo + Queso fresco,Panqueca de plátano y avena sin azúcar ni miel
Menu,Dia 9 (Mar),Almuerzo,Pescado al Ajíllo/Limón al Horno + Batatas horneadas + Ensalada aguacate,Puré de batata + Pescado blanco desmenuzado
Menu,Dia 9 (Mar),Cena,Crema de brócoli y auyama con picadillo de pollo,Crema de auyama y brócoli al vapor
Menu,Dia 10 (Mie),Desayuno,Omelette Criollo con espinaca + Cebolla + Queso paisa + Arepa,Espinaca picada al vapor + Yema de huevo duro
Menu,Dia 10 (Mie),Almuerzo,Seco de Pollo al Cilantro + Arroz integral + Plátano al budare,Bastones de plátano + Pollo desmenuzado
Menu,Dia 10 (Mie),Cena,Arepa Reina Pepiada de Atún o Pollo ligero,Aguacate machacado + Pollo en hebras
Menu,Dia 11 (Jue),Desayuno,Perico Andino + Arepas de yuca,Arepita de yuca suave
Menu,Dia 11 (Jue),Almuerzo,Guiso de Caraotas Redes con Carne Pica + Arroz + Tajadas,Caraotas rojas machacadas + Puré de yuca con aceite de oliva
Menu,Dia 11 (Jue),Cena,Sopita de verduras con fideos de arroz y pollo,Fideos de arroz suaves + Trozos de verduras
Menu,Dia 12 (Vie),Desayuno,Arepa Pelúa Fit (carne mechada + queso amarillo bajo en sal),Carne mechada suave en hebras
Menu,Dia 12 (Vie),Almuerzo,Pechuga de Pollo Empanada al Horno + Puré de auyama + Ensalada verde,Puré espeso de auyama con pollo desmenuzado
Menu,Dia 12 (Vie),Cena,Empanaditas de queso y plátano horneadas,Plátano horneado suave
Menu,Dia 13 (Sab),Desayuno,Arepitas de chía y afrecho + Queso guayanés + Aguacate,Tiras de aguacate + Arepita suave
Menu,Dia 13 (Sab),Almuerzo,Pasticho Fit de Plátano Maduro (Láminas plátano + carne molida + queso),Bastones de plátano maduro al horno + Carne molida magra
Menu,Dia 13 (Sab),Cena,Ensalada César Criolla + Pollo a la plancha + Aguacate + Queso duro,Pollo a la plancha suave en tiritas + Aguacate
Menu,Dia 14 (Dom),Desayuno,Cachapas de budare con queso de mano y aguacate,Cachapita de maíz suave sin sal
