,,,HEAD COUNT APROBADO 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BU1BLT,,,BU2BLB,,,BU3BLN,,,BU4BAV,,,BU5BSB,,,BU6BSLC,,,BU7BO,,,BU14BSC,,,BU15BEP,,,BU16BER,,,BU19BM,,,BU20BB,,,BU11ANN,,,BU17ANNER,,,BU13LG,,
Posicion,TA,TI,TN,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N,A,I,N
Gerente,15,17,-2,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,2.0,-1,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,2.0,-1,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0
Supervisor,24,18,6,2.0,1.0,1,2.0,2.0,0,2.0,1.0,1,2.0,1.0,1,1.0,1.0,0,2.0,2.0,0,2.0,2.0,0,1.0,0.0,1,2.0,1.0,1,1.0,1.0,0,2.0,1.0,1,1.0,1.0,0,2.0,2.0,0,1.0,1.0,0,1.0,1.0,0
Jefe de Cocina,11,12,-1,1.0,1.0,0,0.5,1.0,-0.5,0.5,1.0,-0.5,1.0,1.0,0,1.0,1.0,0,0.5,1.0,-0.5,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,0.5,1.0,-0.5,1.0,1.0,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.0,1.0,0
Cocinero,38,31,7,4.0,5.0,-1,2.0,2.0,0,2.0,3.0,-1,4.0,4.0,0,2.0,1.0,1,4.0,4.0,0,3.0,1.0,2,3.0,1.0,2,2.0,2.0,0,2.0,1.0,1,2.0,2.0,0,2.0,1.0,1,2.0,1.0,1,2.0,2.0,0,2.0,1.0,1
Sushero,31,35,-4,4.0,5.0,-1,2.0,4.0,-2,2.0,2.0,0,4.0,4.0,0,2.0,2.0,0,4.0,5.0,-1,3.0,4.0,-1,2.0,2.0,0,2.0,2.0,0,2.0,1.0,1,2.0,2.0,0,2.0,2.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
A. Cocina,42,51,-9,2.0,1.0,1,3.0,3.0,0,3.0,2.0,1,2.0,5.0,-3,2.0,2.0,0,6.0,5.0,1,2.0,2.0,0,4.0,8.0,-4,2.0,2.0,0,3.0,4.0,-1,2.0,2.0,0,2.0,2.0,0,4.0,5.0,-1,1.0,2.0,-1,4.0,6.0,-2
Mantenimiento,29,27,2,3.0,5.0,-2,2.0,2.0,0,2.0,2.0,0,3.0,2.0,1,1.0,1.0,0,2.0,2.0,0,2.0,3.0,-1,2.0,1.0,1,2.0,2.0,0,2.0,0.0,2,2.0,2.0,0,2.0,1.0,1,1.0,1.0,0,0.0,0.0,0,3.0,3.0,0
Bartender,9,9,0,2.0,3.0,-1,0.0,0.0,0,1.0,0.0,1,2.0,2.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,0
Anfitriona,11,6,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,2.0,0.0,2,1.0,0.0,1,2.0,2.0,0,1.0,2.0,-1,1.0,0.0,1,1.0,0.0,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Cajera salon,12,13,-1,2.0,3.0,-1,2.0,2.0,0,2.0,2.0,0,2.0,2.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,0
Cajera Feria,14,12,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,0,2.0,2.0,0,2.0,2.0,0,2.0,0.0,2,2.0,2.0,0,2.0,2.0,0,0.0,0.0,0
Cajera Delivery,11,7,4,2.0,1.0,1,1.0,0.0,1,1.0,0.0,1,2.0,1.0,1,2.0,2.0,0,0.0,0.0,0,1.0,1.0,0,2.0,2.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Mesonero,32,35,-3,6.0,6.0,0,4.0,4.0,0,3.0,3.0,0,6.0,6.0,0,0.0,0.0,0,0.0,0.0,0,8.0,8.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5.0,8.0,-3
Almacenista,3,2,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Empaquetador,25,24,1,2.0,2.0,0,2.0,2.0,0,2.0,2.0,0,2.0,3.0,-1,1.0,1.0,0,2.0,3.0,-1,1.0,1.0,0,2.0,2.0,0,2.0,2.0,0,2.0,0.0,2,1.0,2.0,-1,2.0,1.0,1,2.0,3.0,-1,2.0,0.0,2,0.0,0.0,0
Valet Parking,1,1,0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Motorizado,37,27,10,9.0,9.0,0,4.0,4.0,0,4.0,4.0,0,6.0,4.0,2,2.0,2.0,0,0.0,0.0,0,3.0,0.0,3,0.0,0.0,0,2.0,2.0,0,1.0,1.0,0,2.0,0.0,2,2.0,1.0,1,0.0,0.0,0,0.0,0.0,0,2.0,0.0,2
,345,327,18,43,46,-3,25.5,27,-1.5,25.5,23,2.5,39,37,2,15,14,1,26.5,26,0.5,32,28,4,20,21,-1,19,19,0,17.5,12,5.5,18,15,3,18,11,7,14,15,-1,9,8,1,23,25,-2
,LEYENDA,,,,
,A,Personal Aprobado,,,
,I,Personal Ingresado,,,
,N,Necesidad,,,
,TA,Total Aprobado,,,
,TI,Total Ingresado,,,
,TN,Total Necesidad,,,
